CustomerID,Churn,Country,State,Retired,HasPartner,HasDependents,Education,Gender,BaseCharges,DOC,TotalCharges,DOE,ElectronicBilling,ContractType,PaymentMethod,TypeOfService,ServiceDetails
Cust4327,Yes,India,Maharashtra,0,2,2,Masters,Male,372,41030,1498.5,40793,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust3826,No,India,Maharashtra,0,1,1,Graduation,Female,100.5,41030,5438.5,39203,Yes,Two year,Bank transfer (automatic),OnlineSecurity,No internet service
Cust6200,No,India,Maharashtra,0,2,2,Graduation,Male,399.25,41030,10005,40193,Yes,Month-to-month,Credit card (automatic),MultipleLines,No
Cust1467,No,India,Maharashtra,0,2,2,Masters,Male,245,41030,245,40883,No,Month-to-month,Credit card (automatic),TechnicalSupport,Yes
Cust4843,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,320.25,41030,3669.75,40583,No,Month-to-month,Bank transfer (automatic),OnlineBackup,No
Cust3820,No,India,Maharashtra,0,1,1,Graduation,Female,498.25,41030,23151,39533,No,Two year,Mailed check,TechnicalSupport,Yes
Cust5325,Yes,India,Maharashtra,0,1,2,Highschool or below,Female,510,41030,5726.75,40583,Yes,Month-to-month,Electronic check,StreamingTelevision,Yes
Cust3940,No,India,Maharashtra,0,2,2,Masters,Male,274.25,41030,1852,40703,No,Month-to-month,Mailed check,DeviceProtection,No
Cust5580,No,India,Maharashtra,0,1,1,Graduation,Male,377.75,41030,10272,40043,No,Two year,Mailed check,OnlineSecurity,No
Cust3956,No,India,Maharashtra,0,1,1,ProfessionalQalification,Female,96,41030,3514.5,39833,No,Month-to-month,Bank transfer (automatic),StreamingMovies,No internet service
Cust2707,Yes,India,Maharashtra,0,1,2,ProfessionalQalification,Female,243.75,41030,3167,40523,Yes,Month-to-month,Bank transfer (automatic),OnlineSecurity,No
Cust1923,No,India,Maharashtra,0,1,1,Graduation,Female,460.75,41030,19377,39653,Yes,Month-to-month,Electronic check,TechnicalSupport,No
Cust2861,No,India,Maharashtra,1,1,1,Graduation,Female,551,41030,24860.5,39533,Yes,Month-to-month,Electronic check,TechnicalSupport,Yes
Cust6143,No,India,Maharashtra,0,1,2,Other,Female,488.5,41030,34348.5,38753,Yes,Two year,Credit card (automatic),DeviceProtection,No
Cust2127,No,India,Maharashtra,0,2,2,Graduation,Female,549.5,41030,38121,38753,Yes,Two year,Electronic check,OnlineSecurity,Yes
Cust3712,No,India,Maharashtra,0,1,2,Masters,Male,343,41030,5543,40463,Yes,Month-to-month,Bank transfer (automatic),StreamingMovies,No
Cust5399,Yes,India,Maharashtra,0,2,2,ProfessionalQalification,Female,350.5,41030,350.5,40883,Yes,Month-to-month,Electronic check,StreamingTelevision,No
Cust1817,Yes,India,Maharashtra,0,1,1,Highschool or below,Female,373.5,41030,373.5,40883,Yes,Month-to-month,Electronic check,StreamingTelevision,No
Cust5438,No,India,Maharashtra,0,1,2,Masters,Female,283,41030,11895.5,39713,No,Month-to-month,Credit card (automatic),HasPhoneService,1
Cust1983,Yes,India,Maharashtra,1,2,2,Graduation,Male,358.25,41030,358.25,40883,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust2111,Yes,India,Maharashtra,0,2,2,ProfessionalQalification,Female,242.75,41030,2505,40583,No,Month-to-month,Credit card (automatic),OnlineBackup,No
Cust4331,No,India,Maharashtra,0,1,2,Masters,Female,424,41030,30230.5,38783,Yes,One year,Bank transfer (automatic),DeviceProtection,Yes
Cust4076,No,India,Maharashtra,0,2,2,Highschool or below,Male,273.25,41030,945.5,40823,No,Month-to-month,Mailed check,StreamingMovies,Yes
Cust3788,No,India,Maharashtra,1,2,2,Masters,Female,529.5,41030,37609.75,38783,Yes,One year,Electronic check,StreamingTelevision,Yes
Cust3542,No,India,Maharashtra,0,2,2,Masters,Male,227.25,41030,6165.75,40133,No,Month-to-month,Electronic check,StreamingTelevision,No
